res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781332077704,1637781332077711,1637781332083507,1637781332091832,1637781333768326,0,1637781333768332
2,2,28,1637781337257130,1637781337257166,1637781337257198,1637781337260079,1637781337312305,1637781337340528,1637781337340534
3,1,56,1637781342022860,1637781342022869,1637781342031359,1637781342040176,1637781343715501,0,1637781343715507
4,2,56,1637781347029959,1637781347030081,1637781347030124,1637781347033299,1637781347092694,1637781347141790,1637781347141798
