res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781332077475,1637781332077482,1637781332083318,1637781332088079,1637781333768029,0,1637781333768030
2,2,28,1637781337256948,1637781337257032,1637781337257070,1637781337261979,1637781337312250,1637781337340498,1637781337341464
3,1,56,1637781342022654,1637781342022658,1637781342031228,1637781342039299,1637781343715404,0,1637781343715405
4,2,56,1637781347029815,1637781347030003,1637781347030034,1637781347036947,1637781347092646,1637781347141781,1637781347144311
