res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,28,1637781332076534,1637781332076535,1637781332076630,1637781332076637,1637781332076704,1637781332076717,1637781332077178,0,0,1637781333767323
2,2,28,1637781337249297,1637781337249299,1637781337249591,1637781337249594,1637781337250099,1637781337250110,1637781337250110,1637781337312176,1637781337339679,1637781337340387
3,1,56,1637781342021557,1637781342021558,1637781342021697,1637781342021699,1637781342021810,1637781342021818,1637781342022368,0,0,1637781343714898
4,2,56,1637781347017631,1637781347017633,1637781347018191,1637781347018195,1637781347018845,1637781347018857,1637781347018862,1637781347092565,1637781347138639,1637781347141680
