res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781332077717,1637781332077725,1637781332083596,1637781332085795,1637781333768150,0,1637781333768152
2,2,28,1637781337257205,1637781337257299,1637781337257343,1637781337260255,1637781337312350,1637781337340613,1637781337341187
3,1,56,1637781342022925,1637781342022928,1637781342031386,1637781342040533,1637781343715514,0,1637781343715518
4,2,56,1637781347031180,1637781347031303,1637781347031340,1637781347037110,1637781347092678,1637781347141901,1637781347141924
