res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781332077262,1637781332077266,1637781332077475,1637781332083073,1637781333767320,0,1637781333767322
2,2,28,1637781337250212,1637781337250295,1637781337250319,1637781337256764,1637781337312185,1637781337339691,1637781337340387
3,1,56,1637781342022441,1637781342022443,1637781342022578,1637781342030904,1637781343714896,0,1637781343714898
4,2,56,1637781347018998,1637781347019182,1637781347019205,1637781347029573,1637781347092576,1637781347138650,1637781347141680
