res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,28,1637781641472468,1637781641472470,1637781641472588,1637781641472595,1637781641472665,1637781641472680,1637781641473203,0,0,1637781642906010
2,2,28,1637781645851657,1637781645851658,1637781645851957,1637781645851961,1637781645852551,1637781645852569,1637781645852574,1637781645925270,1637781645951757,1637781645952984
