res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781757944892,1637781757944904,1637781757951443,1637781757957417,1637781759529245,0,1637781759529247
2,2,28,1637781762940671,1637781762940758,1637781762940802,1637781762947083,1637781762996336,1637781763023083,1637781763024300
