res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781514939818,1637781514939825,1637781514945175,1637781514947960,1637781516392241,0,1637781516392243
2,2,28,1637781520140557,1637781520140651,1637781520140697,1637781520143345,1637781520200793,1637781520229781,1637781520230529
3,1,56,1637781524807049,1637781524807053,1637781524816365,1637781524825189,1637781526523946,0,1637781526523949
4,2,56,1637781530507287,1637781530507401,1637781530507450,1637781530512543,1637781530567247,1637781530623909,1637781530623921
