res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,28,1637781514938639,1637781514938640,1637781514938733,1637781514938740,1637781514938805,1637781514938817,1637781514939270,0,0,1637781516391471
2,2,28,1637781520131343,1637781520131344,1637781520131635,1637781520131638,1637781520132159,1637781520132170,1637781520132176,1637781520200574,1637781520228498,1637781520229560
3,1,56,1637781524805449,1637781524805450,1637781524805602,1637781524805605,1637781524805725,1637781524805734,1637781524806343,0,0,1637781526523313
4,2,56,1637781530495596,1637781530495599,1637781530496190,1637781530496193,1637781530496860,1637781530496872,1637781530496873,1637781530567164,1637781530621421,1637781530623737
