res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781514939713,1637781514939725,1637781514944843,1637781514950712,1637781516392251,0,1637781516392252
2,2,28,1637781520140864,1637781520141002,1637781520141048,1637781520145530,1637781520200672,1637781520229661,1637781520230594
3,1,56,1637781524806789,1637781524806798,1637781524816208,1637781524824764,1637781526523711,0,1637781526523713
4,2,56,1637781530507065,1637781530507273,1637781530507307,1637781530513781,1637781530567216,1637781530623787,1637781530627258
