res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781514939418,1637781514939421,1637781514939635,1637781514944641,1637781516391460,0,1637781516391469
2,2,28,1637781520132280,1637781520132374,1637781520132398,1637781520140137,1637781520200583,1637781520228514,1637781520229560
3,1,56,1637781524806503,1637781524806506,1637781524806690,1637781524815841,1637781526523310,0,1637781526523313
4,2,56,1637781530497097,1637781530497287,1637781530497312,1637781530506836,1637781530567172,1637781530621437,1637781530623738
