res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781514939795,1637781514939799,1637781514945104,1637781514953214,1637781516392259,0,1637781516392262
2,2,28,1637781520140494,1637781520140529,1637781520140566,1637781520144011,1637781520200763,1637781520229703,1637781520229710
3,1,56,1637781524806943,1637781524806963,1637781524816371,1637781524823425,1637781526524066,0,1637781526524070
4,2,56,1637781530507199,1637781530507318,1637781530507393,1637781530511555,1637781530567287,1637781530623899,1637781530623906
