res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781892794598,1637781892794605,1637781892798708,1637781892800467,1637781894238784,0,1637781894238786
2,2,28,1637781899839771,1637781899839866,1637781899839915,1637781899841056,1637781899890739,1637781899918880,1637781899919454
3,1,56,1637781909046368,1637781909046372,1637781909051805,1637781909054961,1637781910687149,0,1637781910687151
4,2,56,1637781915350379,1637781915350559,1637781915350591,1637781915352338,1637781915402399,1637781915447663,1637781915449195
5,1,84,1637781924340631,1637781924340636,1637781924348401,1637781924358393,1637781925944839,0,1637781925944842
6,2,84,1637781929275383,1637781929275604,1637781929275646,1637781929279998,1637781929329441,1637781929384338,1637781929384352
