res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781892794549,1637781892794556,1637781892798607,1637781892800561,1637781894238783,0,1637781894238785
2,2,28,1637781899839687,1637781899839732,1637781899839832,1637781899840933,1637781899890707,1637781899918837,1637781899919165
3,1,56,1637781909046393,1637781909046397,1637781909051709,1637781909060697,1637781910687216,0,1637781910687220
4,2,56,1637781915350246,1637781915350364,1637781915350397,1637781915353480,1637781915402319,1637781915447607,1637781915447616
5,1,84,1637781924340472,1637781924340480,1637781924348354,1637781924355610,1637781925944871,0,1637781925944874
6,2,84,1637781929275312,1637781929275505,1637781929275532,1637781929278697,1637781929329468,1637781929384407,1637781929384415
