res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781892794154,1637781892794156,1637781892794353,1637781892798257,1637781894238390,0,1637781894238391
2,2,28,1637781899834963,1637781899835015,1637781899835033,1637781899839365,1637781899890510,1637781899918011,1637781899918655
3,1,56,1637781909045934,1637781909045936,1637781909046052,1637781909051342,1637781910686802,0,1637781910686803
4,2,56,1637781915342088,1637781915342277,1637781915342297,1637781915349931,1637781915402215,1637781915445941,1637781915447448
5,1,84,1637781924340068,1637781924340070,1637781924340211,1637781924347940,1637781925944181,0,1637781925944183
6,2,84,1637781929268496,1637781929268959,1637781929268978,1637781929274957,1637781929329347,1637781929380023,1637781929384179
