res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781892794477,1637781892794484,1637781892798512,1637781892803726,1637781894238624,0,1637781894238628
2,2,28,1637781899839536,1637781899839573,1637781899839622,1637781899842121,1637781899890562,1637781899918734,1637781899918744
3,1,56,1637781909046233,1637781909046239,1637781909051661,1637781909059522,1637781910686996,0,1637781910687001
4,2,56,1637781915350166,1637781915350288,1637781915350330,1637781915352267,1637781915402250,1637781915447478,1637781915447484
5,1,84,1637781924340492,1637781924340501,1637781924348297,1637781924357354,1637781925944392,0,1637781925944397
6,2,84,1637781929275224,1637781929275424,1637781929275455,1637781929278891,1637781929329396,1637781929384231,1637781929384241
