res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,28,1637781892793672,1637781892793673,1637781892793727,1637781892793733,1637781892793781,1637781892793790,1637781892794083,0,0,1637781894238393
2,2,28,1637781899834376,1637781899834378,1637781899834527,1637781899834529,1637781899834861,1637781899834870,1637781899834873,1637781899890498,1637781899917998,1637781899918654
3,1,56,1637781909045334,1637781909045335,1637781909045421,1637781909045424,1637781909045506,1637781909045512,1637781909045870,0,0,1637781910686803
4,2,56,1637781915340910,1637781915340911,1637781915341463,1637781915341466,1637781915341956,1637781915341968,1637781915341968,1637781915402206,1637781915445931,1637781915447447
5,1,84,1637781924339282,1637781924339283,1637781924339412,1637781924339415,1637781924339531,1637781924339537,1637781924339979,0,0,1637781925944183
6,2,84,1637781929267416,1637781929267416,1637781929268020,1637781929268022,1637781929268383,1637781929268390,1637781929268392,1637781929329335,1637781929380012,1637781929384179
