res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637779862878496,1637779862878503,1637779862882139,1637779862889740,1637779864550869,0,1637779864550874
2,1,28,1637779869879596,1637779869879603,1637779869884632,1637779869888725,1637779872386187,0,1637779872386189
3,1,28,1637779875928174,1637779875928179,1637779875932637,1637779875936999,1637779877625548,0,1637779877625549
