res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,28,1637780060082657,1637780060082747,1637780060082824,1637780060090155,1637780060140980,1637780060167858,1637780060169012
2,2,28,1637780063530724,1637780063530833,1637780063530895,1637780063538195,1637780063582536,1637780063629761,1637780063631123
3,2,28,1637780068288461,1637780068288491,1637780068288681,1637780068290888,1637780068347289,1637780068385940,1637780068386647
