res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,28,1637780060073321,1637780060073406,1637780060073430,1637780060082418,1637780060140720,1637780060166800,1637780060167651
2,2,28,1637780063521109,1637780063521208,1637780063521249,1637780063530446,1637780063582337,1637780063628661,1637780063629666
3,2,28,1637780068277445,1637780068277630,1637780068277650,1637780068288230,1637780068347172,1637780068385014,1637780068385831
