res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,28,1637780060082883,1637780060082927,1637780060083026,1637780060087299,1637780060141036,1637780060167740,1637780060167748
2,2,28,1637780063530922,1637780063531009,1637780063531048,1637780063532677,1637780063582534,1637780063629853,1637780063629862
3,2,28,1637780068288610,1637780068288676,1637780068288701,1637780068289753,1637780068347335,1637780068385992,1637780068385997
