res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,2,28,1637780060072251,1637780060072252,1637780060072494,1637780060072500,1637780060073112,1637780060073124,1637780060073129,1637780060140711,1637780060166788,1637780060167651
2,2,28,1637780063519500,1637780063519501,1637780063519691,1637780063519693,1637780063520316,1637780063520325,1637780063520346,1637780063582305,1637780063628650,1637780063629666
3,2,28,1637780068276630,1637780068276631,1637780068276802,1637780068276805,1637780068277335,1637780068277344,1637780068277349,1637780068347162,1637780068385005,1637780068385831
