res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,2,28,1637780060082847,1637780060082951,1637780060083077,1637780060091949,1637780060140998,1637780060167999,1637780060168973
2,2,28,1637780063530818,1637780063530847,1637780063530898,1637780063534056,1637780063582500,1637780063629803,1637780063630606
3,2,28,1637780068288629,1637780068288676,1637780068288733,1637780068290945,1637780068347415,1637780068386091,1637780068387007
