res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781172357337,1637781172357343,1637781172360884,1637781172362526,1637781174026147,0,1637781174026150
2,2,28,1637781179109624,1637781179109691,1637781179109727,1637781179110889,1637781179161985,1637781179190289,1637781179190794
3,1,56,1637781188083756,1637781188083759,1637781188089842,1637781188099533,1637781189774912,0,1637781189774914
4,2,56,1637781194981972,1637781194982052,1637781194982082,1637781194985463,1637781195035201,1637781195078493,1637781195078501
5,1,84,1637781204108749,1637781204108760,1637781204117613,1637781204124566,1637781205797377,0,1637781205797387
6,2,84,1637781209184845,1637781209185039,1637781209185077,1637781209189020,1637781209241459,1637781209297541,1637781209297550
