res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781172357269,1637781172357276,1637781172360765,1637781172367950,1637781174026242,0,1637781174026246
2,2,28,1637781179109551,1637781179109600,1637781179109662,1637781179112582,1637781179161832,1637781179190149,1637781179190158
3,1,56,1637781188083750,1637781188083761,1637781188089745,1637781188097280,1637781189775034,0,1637781189775042
4,2,56,1637781194981908,1637781194982030,1637781194982066,1637781194985856,1637781195035110,1637781195078383,1637781195078391
5,1,84,1637781204108719,1637781204108729,1637781204117583,1637781204125692,1637781205797273,0,1637781205797280
6,2,84,1637781209184762,1637781209184956,1637781209184985,1637781209187106,1637781209241422,1637781209297483,1637781209297492
