res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781172357343,1637781172357349,1637781172360967,1637781172362781,1637781174026210,0,1637781174026212
2,2,28,1637781179109726,1637781179109820,1637781179109863,1637781179111015,1637781179161960,1637781179190302,1637781179190705
3,1,56,1637781188083878,1637781188083883,1637781188089837,1637781188092119,1637781189774940,0,1637781189774942
4,2,56,1637781194982090,1637781194982269,1637781194982301,1637781194984004,1637781195035267,1637781195078580,1637781195079935
5,1,84,1637781204108794,1637781204108799,1637781204117637,1637781204125896,1637781205797214,0,1637781205797222
6,2,84,1637781209186412,1637781209186591,1637781209186619,1637781209189106,1637781209241429,1637781209297595,1637781209297604
