res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,28,1637781172356397,1637781172356399,1637781172356459,1637781172356465,1637781172356518,1637781172356528,1637781172356799,0,0,1637781174025805
2,2,28,1637781179102528,1637781179102530,1637781179102751,1637781179102754,1637781179103177,1637781179103188,1637781179103192,1637781179161761,1637781179189619,1637781179190096
3,1,56,1637781188082647,1637781188082649,1637781188082739,1637781188082741,1637781188082824,1637781188082831,1637781188083212,0,0,1637781189774538
4,2,56,1637781194971142,1637781194971142,1637781194971693,1637781194971696,1637781194972283,1637781194972295,1637781194972301,1637781195035010,1637781195076166,1637781195078331
5,1,84,1637781204107409,1637781204107410,1637781204107539,1637781204107541,1637781204107657,1637781204107663,1637781204108121,0,0,1637781205796729
6,2,84,1637781209171741,1637781209171742,1637781209172643,1637781209172645,1637781209173257,1637781209173267,1637781209173272,1637781209241287,1637781209293212,1637781209297374
