res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637781172356870,1637781172356872,1637781172357068,1637781172360500,1637781174025803,0,1637781174025804
2,2,28,1637781179103283,1637781179103369,1637781179103391,1637781179109269,1637781179161771,1637781179189631,1637781179190096
3,1,56,1637781188083352,1637781188083355,1637781188083486,1637781188089386,1637781189774536,0,1637781189774538
4,2,56,1637781194972427,1637781194972614,1637781194972636,1637781194981596,1637781195035022,1637781195076177,1637781195078331
5,1,84,1637781204108227,1637781204108229,1637781204108388,1637781204117171,1637781205796728,0,1637781205796729
6,2,84,1637781209173415,1637781209173933,1637781209173953,1637781209184448,1637781209241302,1637781209293222,1637781209297375
