res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,28,1637839434585943,1637839434585950,1637839434589103,1637839434590801,1637839437376717,0,1637839437376719
2,1,28,1637839439732407,1637839439732411,1637839439737821,1637839439746053,1637839442535473,0,1637839442535483
3,1,28,1637839444272954,1637839444272959,1637839444278561,1637839444283077,1637839446411700,0,1637839446411702
